time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001228,0.0006,0.0016,0.0171,0.017
0.002029,0.0027,-0.0007,0.0217,0.022
0.006403,-0.0000,-0.0031,0.0167,0.017
0.014387,0.0021,-0.0030,0.0142,0.015
0.016099,0.0018,-0.0030,0.0070,0.008
0.020395,0.0016,-0.0005,0.0022,0.003
0.024976,0.0061,-0.0029,-0.0026,0.007
0.030063,0.0035,-0.0028,-0.0049,0.007
0.034528,-0.0014,-0.0004,-0.0049,0.005
0.039291,-0.0040,-0.0027,-0.0072,0.009
0.044198,-0.0042,-0.0050,-0.0024,0.007
0.048675,-0.0043,-0.0049,0.0024,0.007
0.053228,-0.0043,-0.0025,0.0023,0.005
0.057837,0.0030,-0.0024,-0.0072,0.008
0.062662,-0.0018,0.0000,0.0000,0.002
0.067261,-0.0067,0.0001,0.0024,0.007
0.071870,-0.0043,-0.0022,-0.0048,0.007
0.076596,-0.0044,-0.0069,-0.0071,0.011
0.081337,-0.0068,-0.0092,-0.0070,0.013
0.086082,-0.0067,-0.0139,-0.0070,0.017
0.090982,-0.0068,-0.0113,-0.0022,0.013
0.096113,-0.0020,-0.0040,-0.0045,0.006
0.099977,0.0026,0.0032,0.0003,0.004
0.104517,0.0025,0.0032,0.0026,0.005
0.109271,0.0024,0.0056,0.0026,0.007
0.114127,-0.0025,0.0009,0.0026,0.004
0.118538,-0.0122,0.0010,0.0144,0.019
0.123358,-0.0123,-0.0037,0.0024,0.013
0.128059,-0.0076,-0.0060,0.0072,0.012
0.132641,-0.0077,-0.0082,0.0024,0.011
0.137257,-0.0078,-0.0057,-0.0024,0.010
0.142022,-0.0031,-0.0008,-0.0071,0.008
0.147295,-0.0010,0.0040,-0.0094,0.010
0.151468,0.0035,0.0040,-0.0117,0.013
0.156023,0.0008,0.0018,-0.0045,0.005
0.160626,0.0005,-0.0005,0.0003,0.001
0.165386,-0.0021,0.0019,0.0074,0.008
0.170245,-0.0023,0.0020,0.0026,0.004
0.174954,-0.0049,0.0044,0.0026,0.007
0.179396,-0.0003,0.0068,0.0002,0.007
0.184197,0.0018,0.0045,-0.0093,0.011
0.188618,0.0064,0.0045,-0.0093,0.012
0.193283,0.0014,0.0045,-0.0068,0.008
0.198343,0.0012,0.0069,-0.0044,0.008
0.202937,-0.0013,0.0022,0.0028,0.004
0.207593,-0.0039,-0.0025,0.0075,0.009
0.213140,-0.0040,-0.0025,0.0146,0.015
0.217088,0.0007,-0.0001,0.0168,0.017
0.221610,0.0007,0.0023,0.0119,0.012
0.226347,-0.0042,0.0047,0.0071,0.009
0.230937,-0.0020,0.0095,0.0046,0.011
0.235590,-0.0046,0.0094,-0.0025,0.011
0.240242,-0.0024,0.0071,-0.0049,0.009
0.247772,-0.0050,0.0023,-0.0048,0.007
0.249688,-0.0052,-0.0024,-0.0024,0.006
0.254399,-0.0006,-0.0023,-0.0048,0.005
0.258802,-0.0008,-0.0022,0.0048,0.005
0.263589,0.0039,0.0002,0.0071,0.008
0.268255,0.0038,0.0050,0.0118,0.013
0.272822,-0.0011,0.0049,0.0069,0.009
0.277806,-0.0012,0.0049,0.0021,0.006
0.282893,-0.0013,0.0050,0.0021,0.006
0.286943,-0.0037,0.0050,-0.0003,0.006
0.291625,-0.0085,0.0002,-0.0026,0.009
0.296560,-0.0050,-0.0050,-0.0050,0.009
0.300970,0.0582,-0.0196,0.0140,0.063
0.305562,-0.0193,0.0110,0.0400,0.046
0.310655,-0.0395,0.0211,-0.0837,0.095
0.315344,-0.0155,0.0114,0.0024,0.019
0.319692,-0.0084,0.0162,-0.0166,0.025
0.324726,-0.0036,0.0114,0.0025,0.012
0.329842,0.0106,0.0042,0.0073,0.014
0.333751,0.0837,-0.0053,0.0048,0.084
0.338414,0.4480,-0.0550,-0.0213,0.452
0.343004,0.4322,-0.0616,0.0026,0.437
0.348007,0.2126,-0.0350,-0.0069,0.216
0.352598,-0.0291,0.0127,-0.0021,0.032
0.357034,-0.1054,0.0341,-0.0306,0.115
0.361671,-0.0954,0.0292,-0.0137,0.101
0.366763,-0.0097,0.0173,-0.0160,0.025
0.371116,0.1443,-0.0136,-0.0040,0.145
0.375650,0.2663,-0.0348,0.0103,0.269
0.380645,0.3374,-0.0487,0.0150,0.341
