time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000986,0.2764,0.1816,-0.0613,0.336
0.005106,0.0703,0.1870,0.0265,0.202
0.009602,-0.0485,0.2241,0.0123,0.230
0.015530,-0.1953,0.2737,-0.0203,0.337
0.018917,-0.3506,0.3523,-0.0356,0.498
0.023707,-0.4975,0.4502,-0.0289,0.672
0.030672,-0.6495,0.5032,-0.0242,0.822
0.032996,-0.7566,0.5685,-0.0191,0.947
0.037713,-0.7857,0.5942,-0.0183,0.985
0.042547,-0.7587,0.5995,0.0114,0.967
0.047142,-0.6950,0.5328,0.0056,0.876
0.051698,-0.6492,0.5083,0.0073,0.825
0.056468,-0.5992,0.4359,-0.0190,0.741
0.061527,-0.4668,0.3968,-0.0946,0.620
0.065817,-0.4256,0.3789,-0.1267,0.584
0.070373,-0.4157,0.3587,-0.1678,0.574
0.075450,-0.3919,0.3576,-0.1777,0.559
0.079847,-0.3734,0.4041,-0.1758,0.578
0.084475,-0.3365,0.4436,-0.1977,0.591
0.089091,-0.2719,0.4762,-0.1723,0.575
0.098500,-0.2060,0.4904,-0.1546,0.554
0.098779,-0.1216,0.5337,-0.1278,0.562
0.103225,-0.0285,0.5089,-0.1112,0.522
0.107753,0.0568,0.5020,-0.0713,0.510
0.112814,0.1392,0.4842,-0.0014,0.504
0.117245,0.1925,0.4605,0.0557,0.502
0.121867,0.2008,0.3620,0.1095,0.428
0.126496,0.2169,0.3053,0.1817,0.416
0.131193,0.2239,0.2757,0.2602,0.440
0.136014,0.1909,0.2585,0.3522,0.477
0.140523,0.1773,0.2368,0.4624,0.549
0.146325,0.1333,0.2292,0.5576,0.617
0.149944,0.0660,0.1784,0.6238,0.652
0.156460,0.0160,0.1274,0.7039,0.715
0.159149,-0.0245,0.0757,0.7695,0.774
0.163906,-0.0081,0.0044,0.8350,0.835
0.168576,-0.0139,-0.0509,0.8862,0.888
0.173464,-0.0135,-0.0857,0.9636,0.967
0.178048,-0.0546,-0.0907,1.0290,1.034
0.182562,-0.0849,-0.1184,1.0850,1.095
0.187337,-0.0503,-0.1235,1.1221,1.130
0.191901,-0.0655,-0.1180,1.1594,1.167
0.197312,-0.0635,-0.1069,1.1615,1.168
0.201651,-0.0540,-0.0756,1.1331,1.137
0.205922,-0.0418,-0.0694,1.1008,1.104
0.211073,-0.0200,-0.0355,1.0501,1.051
0.215727,0.0563,-0.0474,1.0025,1.005
0.219997,0.1744,-0.0641,0.9579,0.976
0.224677,0.3532,-0.0661,0.9112,0.980
0.229751,0.5642,-0.0317,0.8600,1.029
0.235175,0.7866,-0.0105,0.8113,1.130
0.238676,1.0212,0.0218,0.7220,1.251
0.243445,1.2429,0.0345,0.7158,1.435
0.248280,1.4500,0.0116,0.7087,1.614
0.252684,1.6218,0.0129,0.7172,1.773
0.257672,1.7565,-0.0305,0.7731,1.919
0.262943,1.8501,-0.1040,0.8725,2.048
0.266796,1.9152,-0.1526,0.9225,2.131
0.271430,1.8740,-0.2221,1.0185,2.144
0.276135,1.8035,-0.3221,1.1057,2.140
0.280767,1.6874,-0.4290,1.2246,2.129
0.285870,1.5280,-0.4980,1.3728,2.114
0.290121,1.3415,-0.6058,1.5243,2.119
0.297788,1.1727,-0.6978,1.6365,2.131
0.299587,0.9562,-0.7697,1.7595,2.145
0.304564,0.7628,-0.8315,1.9009,2.211
0.309142,0.5559,-0.8692,2.0106,2.260
0.313717,0.3922,-0.8997,2.1009,2.319
0.318260,0.3191,-0.9352,2.1695,2.384
0.322946,0.2860,-0.9589,2.2309,2.445
0.327533,0.3262,-0.9782,2.2779,2.500
0.332383,0.3995,-1.0049,2.3131,2.553
0.337167,0.5229,-1.0486,2.3055,2.586
0.341585,0.6948,-1.0830,2.2767,2.615
0.346977,0.8345,-1.1297,2.2650,2.665
0.351010,0.9929,-1.1719,2.2486,2.723
0.355965,1.0657,-1.1648,2.1969,2.705
0.360259,1.1391,-1.2109,2.1005,2.679
0.365032,1.1487,-1.2125,1.9953,2.602
0.370129,1.1133,-1.2507,1.8981,2.531
0.375422,1.0844,-1.2635,1.7923,2.446
0.380269,1.0039,-1.2581,1.6900,2.334
0.383888,0.9284,-1.2658,1.6030,2.244
0.388282,0.8237,-1.2890,1.5218,2.158
0.392915,0.7440,-1.2540,1.4560,2.061
0.398036,0.7154,-1.2184,1.3485,1.953
0.402378,0.7326,-1.2418,1.2400,1.902
0.407014,0.7908,-1.2097,1.0924,1.812
0.411884,0.8755,-1.2389,0.9583,1.794
0.416637,0.9724,-1.2625,0.8350,1.799
0.421000,1.0530,-1.2587,0.6845,1.778
0.425809,1.1535,-1.2752,0.5233,1.797
0.430468,1.2267,-1.2759,0.3397,1.802
0.435630,1.2969,-1.2466,0.1502,1.805
0.439751,1.3458,-1.2464,-0.0381,1.835
0.444438,1.3665,-1.2323,-0.2516,1.857
0.449264,1.3738,-1.2207,-0.4449,1.891
0.455904,1.3678,-1.2136,-0.6111,1.928
0.458400,1.3155,-1.1873,-0.7862,1.939
0.463166,1.2767,-1.1891,-0.9488,1.986
0.468020,1.2204,-1.1594,-1.1084,2.016
0.472581,1.1535,-1.1627,-1.2294,2.048
0.477524,1.0736,-1.1441,-1.3333,2.059
0.481879,0.9781,-1.1395,-1.4346,2.077
0.486782,0.9290,-1.1157,-1.5092,2.094
0.491616,0.8589,-1.0898,-1.5811,2.104
0.497647,0.8083,-1.1024,-1.6406,2.135
0.500921,0.7578,-1.0607,-1.7069,2.148
0.505463,0.7427,-1.0462,-1.7749,2.190
0.510302,0.7341,-1.0159,-1.8756,2.256
0.515852,0.7342,-0.9867,-1.9731,2.325
0.519356,0.7164,-0.9562,-2.0674,2.388
0.523876,0.7736,-0.9266,-2.1466,2.463
0.529125,0.8362,-0.8694,-2.2514,2.554
0.533734,0.8640,-0.7989,-2.3553,2.633
0.538008,0.9312,-0.7839,-2.4705,2.754
0.542930,0.9949,-0.7360,-2.5517,2.836
0.547584,1.0602,-0.6741,-2.6324,2.917
0.552057,1.1296,-0.6482,-2.7010,2.999
0.556636,1.1986,-0.6268,-2.7527,3.067
0.562348,1.2602,-0.6098,-2.7996,3.130
0.568740,1.2908,-0.5898,-2.8275,3.164
0.570840,1.3027,-0.5716,-2.8104,3.150
0.575883,1.2794,-0.5669,-2.8248,3.152
0.582969,1.2642,-0.5567,-2.8085,3.130
0.584925,1.2357,-0.5576,-2.7713,3.085
0.589685,1.1722,-0.5481,-2.7203,3.012
0.602153,1.1140,-0.5619,-2.6485,2.928
0.602730,1.0324,-0.5559,-2.5558,2.812
0.603846,0.9627,-0.5613,-2.4400,2.682
0.608086,0.8570,-0.5306,-2.3367,2.545
0.615238,0.7868,-0.5070,-2.1935,2.385
0.617624,0.7255,-0.4835,-2.0796,2.255
0.622372,0.6948,-0.4123,-1.9590,2.119
0.627003,0.6683,-0.3631,-1.8294,1.981
0.631680,0.6772,-0.3286,-1.7361,1.892
0.636221,0.7263,-0.2492,-1.6430,1.814
0.640998,0.7872,-0.1704,-1.5909,1.783
0.648316,0.8649,-0.0730,-1.5603,1.786
0.650153,0.9693,0.0095,-1.5562,1.833
0.655693,1.0958,0.1063,-1.5713,1.919
0.660064,1.1775,0.1933,-1.5985,1.995
0.665864,1.2670,0.3304,-1.6186,2.082
0.669513,1.3069,0.4080,-1.6056,2.110
0.673820,1.3210,0.5384,-1.5787,2.128
0.678831,1.2993,0.6236,-1.5069,2.085
0.683494,1.2704,0.7092,-1.4190,2.032
0.688020,1.2005,0.7951,-1.3269,1.958
