time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001975,0.3962,-0.1854,-0.7194,0.842
0.003574,0.4222,-0.2260,-0.7927,0.926
0.008509,0.4340,-0.2562,-0.8352,0.975
0.016333,0.4238,-0.2567,-0.8684,1.000
0.017672,0.3986,-0.2250,-0.8948,1.005
0.022624,0.3536,-0.1682,-0.9168,0.997
0.027051,0.3030,-0.0888,-0.9344,0.986
0.031626,0.2588,0.0035,-0.9404,0.975
0.036074,0.2036,0.1016,-0.9349,0.962
0.040649,0.1491,0.1981,-0.9249,0.958
0.046212,0.0925,0.2835,-0.9128,0.960
0.050352,0.0433,0.3532,-0.9059,0.973
0.054746,-0.0062,0.4024,-0.9185,1.003
0.059672,-0.0539,0.4410,-0.9554,1.054
0.064242,-0.0898,0.4645,-1.0096,1.115
0.068838,-0.1162,0.4729,-1.0761,1.181
0.073334,-0.1302,0.4855,-1.1455,1.251
0.078240,-0.1289,0.4879,-1.2035,1.305
0.082987,-0.1167,0.4946,-1.2356,1.336
0.087540,-0.1050,0.5031,-1.2325,1.335
0.092186,-0.0931,0.5105,-1.1843,1.293
0.097208,-0.0898,0.5166,-1.0934,1.213
0.101552,-0.0923,0.5208,-0.9694,1.104
0.106202,-0.0950,0.5252,-0.8215,0.980
0.110768,-0.0876,0.5197,-0.6762,0.857
0.115545,-0.0599,0.4947,-0.5573,0.748
0.120182,-0.0220,0.4631,-0.4602,0.653
0.124928,0.0145,0.4134,-0.5149,0.660
0.130851,0.0244,0.4202,-0.5634,0.703
0.134242,0.0044,0.4611,-0.5698,0.733
0.139398,-0.0434,0.5309,-0.5648,0.776
0.143592,-0.0995,0.6315,-0.5435,0.839
0.148442,-0.1558,0.7555,-0.5394,0.941
0.152834,-0.2022,0.8791,-0.5454,1.054
0.157645,-0.2338,0.9952,-0.5661,1.169
0.163123,-0.2414,1.0851,-0.5897,1.258
0.166940,-0.2135,1.1442,-0.6161,1.317
0.171658,-0.1701,1.1753,-0.6407,1.349
0.176580,-0.1092,1.1737,-0.6537,1.348
0.181136,-0.0449,1.1580,-0.6550,1.331
0.185661,0.0183,1.1539,-0.6444,1.322
0.190375,0.0665,1.1489,-0.6218,1.308
0.195075,0.1123,1.1519,-0.5966,1.302
0.199880,0.1467,1.1528,-0.5495,1.285
0.204508,0.1700,1.1628,-0.4660,1.264
0.209000,0.1876,1.1766,-0.3581,1.244
0.213745,0.1857,1.1815,-0.2330,1.218
0.218895,0.1651,1.1817,-0.0713,1.195
0.222980,0.1288,1.1813,0.1149,1.194
0.227913,0.0869,1.1749,0.3066,1.217
0.232707,0.0654,1.1548,0.5037,1.262
0.237249,0.0854,1.1136,0.6896,1.313
0.241718,0.1483,1.0513,0.8476,1.359
0.247408,0.2409,0.9367,0.9562,1.360
0.251172,0.3543,0.8033,1.0584,1.375
0.256056,0.4874,0.6656,1.1448,1.411
0.260583,0.6015,0.5422,1.2417,1.482
0.265275,0.6784,0.4496,1.3395,1.567
0.269794,0.7311,0.3849,1.4310,1.652
0.274559,0.7703,0.3289,1.5042,1.722
0.279751,0.8090,0.2694,1.5544,1.773
0.284064,0.8524,0.1851,1.5887,1.812
0.288498,0.9052,0.0665,1.6072,1.846
0.293263,0.9643,-0.0720,1.6075,1.876
0.298072,1.0200,-0.2278,1.5872,1.900
0.302633,1.0696,-0.3863,1.5537,1.925
0.307097,1.1128,-0.5331,1.5140,1.953
0.313356,1.1427,-0.6539,1.4683,1.972
0.316674,1.1622,-0.7416,1.4095,1.972
0.321212,1.1765,-0.7863,1.3400,1.949
0.325896,1.1660,-0.7829,1.2670,1.891
0.331795,1.1391,-0.7355,1.1904,1.804
0.335282,1.1138,-0.6531,1.0983,1.695
0.340072,1.0937,-0.5444,0.9881,1.571
0.345015,1.0953,-0.4279,0.8526,1.452
0.349632,1.1282,-0.3174,0.6941,1.362
0.353838,1.1929,-0.2170,0.5196,1.319
0.358617,1.2854,-0.1309,0.3268,1.333
0.363225,1.3920,-0.0610,0.1177,1.398
0.368108,1.4964,-0.0088,-0.0958,1.499
0.372701,1.6035,0.0331,-0.3138,1.634
0.377517,1.7011,0.0583,-0.5246,1.781
0.382060,1.7772,0.0697,-0.7212,1.919
0.386780,1.8356,0.0722,-0.9038,2.047
0.391308,1.8805,0.0662,-1.0700,2.165
0.396736,1.8922,0.0423,-1.2297,2.257
0.400921,1.8691,-0.0043,-1.3709,2.318
0.407844,1.8232,-0.0689,-1.4890,2.355
0.409947,1.7403,-0.1400,-1.5839,2.357
0.414864,1.6309,-0.2205,-1.6507,2.331
0.419439,1.5064,-0.2942,-1.6868,2.281
0.424233,1.3747,-0.3497,-1.7090,2.221
0.431288,1.2587,-0.4040,-1.7240,2.172
0.433438,1.1706,-0.4549,-1.7318,2.139
0.438165,1.0921,-0.4951,-1.7181,2.095
0.443023,1.0181,-0.5121,-1.6687,2.021
0.447543,0.9506,-0.4990,-1.6828,1.996
0.452435,0.9076,-0.4606,-1.7492,2.024
0.456773,0.8722,-0.4293,-1.7873,2.035
0.463392,0.8170,-0.4061,-1.7035,1.932
0.466281,0.7236,-0.3957,-1.4803,1.695
0.470905,0.5987,-0.4000,-1.1865,1.388
0.475937,0.4508,-0.4223,-0.9125,1.102
